p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
2.31014226975865e-182,1.40178065094311,0.851,0.209,4.63021815127726e-178,4,Ccr7
2.66894733474348e-180,1.81539776542946,0.882,0.354,5.34937114302635e-176,4,Scd1
5.41997065147913e-178,1.83620720404167,0.929,0.338,1.08632471767596e-173,4,Satb1
2.83931400551247e-172,1.58535422042102,0.686,0.162,5.69083706124865e-168,4,Ppp1r16b
6.42066790704165e-165,1.44127776372867,0.553,0.108,1.28689446860836e-160,4,Pik3ap1
7.32658689457773e-155,1.58645030844387,0.577,0.133,1.46846781128021e-150,4,Ralgps2
7.06437076597327e-149,1.73631905602391,0.903,0.612,1.41591183262402e-144,4,Serp1
1.7954796193056e-137,1.55698889155375,0.792,0.354,3.59867980097421e-133,4,Map3k1
2.4764733486513e-130,1.40013513247221,0.946,0.446,4.9635955327018e-126,4,Stk17b
2.7716118784312e-122,1.34443222028369,0.95,0.398,5.55514168793965e-118,4,Cd52
1.77211202132029e-119,1.44715426442351,0.586,0.18,3.55184412433226e-115,4,Gm49980
6.95800820519776e-117,1.40322437469135,0.582,0.161,1.39459358456779e-112,4,Rhoh
4.56192390997692e-98,1.35287379193673,0.586,0.18,9.14346409276674e-94,4,St8sia4
7.09420232764031e-90,1.36308112283156,0.846,0.718,1.42189097252895e-85,4,Gdi2
2.1497712517491e-75,1.41526257179731,0.4,0.106,4.30878651988072e-71,4,Nfkbid
0,5.39163559722533,0.799,0.113,0,5,Ccl4
0,5.39045709327187,0.958,0.068,0,5,Lyz2
0,4.78652980105627,0.632,0.026,0,5,Il1b
0,3.72260990766106,0.418,0.014,0,5,Pf4
0,3.25721406275523,0.973,0.152,0,5,Plek
0,3.25295997547079,0.507,0.023,0,5,Ccl3
0,3.18002105449281,0.774,0.019,0,5,Ccl6
0,3.12416225985849,0.774,0.031,0,5,Ccl9
0,3.00151012115687,0.637,0.015,0,5,Mrc1
0,2.95519319742384,0.836,0.054,0,5,Cybb
0,2.8059745432814,0.58,0.029,0,5,Oasl1
0,2.78101094033414,0.701,0.059,0,5,Tnip3
0,2.69284058912099,0.669,0.022,0,5,Wfdc17
0,2.68492550319737,0.836,0.032,0,5,Lilrb4a
0,2.65594816622221,0.398,0.013,0,5,C1qb
0,2.6342441725926,0.826,0.037,0,5,Lilr4b
0,2.62843038651082,0.955,0.107,0,5,Fcer1g
0,2.55844909727533,0.545,0.006,0,5,Mgl2
0,2.54980100045481,0.547,0.008,0,5,F13a1
0,2.49586441027166,0.965,0.13,0,5,Tyrobp
0,2.48136882586196,0.91,0.162,0,5,Ctss
0,2.42918979297785,0.853,0.025,0,5,Alox5ap
0,2.36070647033233,0.799,0.074,0,5,Ptafr
0,2.3397742833533,0.428,0.005,0,5,Clec4e
6.56553865359178e-298,3.3224081962416,0.878,0.173,1.3159309123394e-293,5,H2-Eb1
4.22225625634392e-295,3.7499131815503,0.91,0.208,8.46266821459012e-291,5,H2-Ab1
2.17129150001437e-292,3.19345350888439,0.423,0.02,4.3519195534788e-288,5,C1qa
1.71000150123911e-289,2.56985436922649,0.396,0.016,3.42735600893354e-285,5,C1qc
1.68540629137018e-283,3.70489677839674,0.91,0.222,3.37805982979326e-279,5,H2-Aa
5.94919416162231e-278,3.02523577679998,0.893,0.209,1.19239698581396e-273,5,Slfn2
4.48642289579636e-255,3.55016825459923,0.965,0.312,8.99213741004464e-251,5,Cd74
1.95672576345793e-247,5.40791766105298,0.749,0.147,3.92186544769874e-243,5,Cxcl2
4.13253123746176e-245,2.86453381573784,0.46,0.037,8.2828323592446e-241,5,Ifit1
5.04675652908455e-231,3.12745572201963,0.938,0.303,1.01152141112442e-226,5,Cd14
6.05229390353009e-230,2.46274464136826,0.495,0.051,1.21306126708454e-225,5,Il1rn
3.62530509684734e-227,3.26682581535078,0.445,0.038,7.26619900561112e-223,5,Rsad2
6.69624564780845e-221,2.31880408720574,0.903,0.261,1.34212851519025e-216,5,Kctd12
5.68822688073926e-196,2.67100381811124,0.458,0.05,1.14009131370657e-191,5,Cxcl10
4.02098036693684e-187,2.37485586595283,0.279,0.013,8.0592509494515e-183,5,Cxcl3
6.03370485017639e-186,2.24227860733906,0.831,0.291,1.20933546312085e-181,5,Etv3
1.82281810841035e-181,2.38571502954201,0.699,0.177,3.65347433468687e-177,5,Lgmn
6.2475099491686e-176,2.36330362335673,0.684,0.164,1.25218841911186e-171,5,Ccrl2
4.85439094538859e-175,2.71315846802766,0.868,0.372,9.72965577184235e-171,5,Marcksl1
6.93274454022462e-173,2.96426760963563,0.99,0.736,1.38952998819722e-168,5,Cst3
1.44621531319641e-170,2.4832345135068,0.632,0.137,2.89864935223956e-166,5,Isg15
7.48206367317292e-143,5.13513225367059,0.403,0.058,1.49963002201405e-138,5,Retnla
7.7420265014636e-119,3.6632913167148,0.507,0.118,1.55173437168835e-114,5,Ccl7
8.30010381887227e-101,2.59398728498967,0.622,0.198,1.66358980841657e-96,5,Ccl2
2.00638282832729e-68,2.49181339076034,0.535,0.213,4.02139310281638e-64,5,Hmox1
1.37867830085689e-51,2.61117725338422,0.709,0.49,2.76328491840747e-47,5,Apoe
0,4.02439538212378,0.639,0.037,0,6,Xcl1
0,3.58963561734457,0.808,0.058,0,6,Cd7
0,2.89837632226409,0.887,0.119,0,6,Il2rb
0,2.65178329846693,0.711,0.065,0,6,Ctsw
0,2.56528555547787,0.749,0.058,0,6,Cxcr6
0,1.86418863827717,0.583,0.029,0,6,Itgae
0,1.85639683780549,0.501,0.025,0,6,Klrk1
6.00315964155582e-275,2.62097469846576,0.67,0.084,1.20321328695703e-270,6,Nkg7
1.29059449152221e-254,3.24494505589092,0.818,0.161,2.58673853935796e-250,6,Rgs1
7.06235629204991e-251,1.74270441645651,0.471,0.036,1.41550807161556e-246,6,Tnfrsf9
9.51350834404072e-248,3.76912486734197,0.437,0.031,1.90679247739608e-243,6,Gzmb
1.11786548160376e-225,1.92021679267925,0.547,0.064,2.24053778477842e-221,6,Serpinb6b
2.17786338421799e-222,1.82333909912197,0.824,0.184,4.36509158098812e-218,6,Ptpn22
6.95579595106709e-221,2.00921001872654,0.89,0.23,1.39415018247238e-216,6,Hcst
1.37109779897678e-214,1.62733011935208,0.683,0.114,2.74809131848916e-210,6,Sh2d2a
1.93129952761261e-202,1.61633920679746,0.588,0.085,3.87090364319395e-198,6,Ikzf3
